הוצאה,שנת כתיבה,שנת הוצאה בעברית,מתרגם,שפת מקור,פורמט,סופר,עולם,שם הסדרה,שם הספר,כרך,מספר בסדרה,ISBN,דאנאקוד,עוד לא קראתי,קהל יעד,נושא,תת נושא,מושאל ל,סדרה עיצובית,הארות,סימניה,מיקום_,
עם עובד,,1969,"ברטוב, חנוך",אנגלית,כריכה קשה,"סמית, דודי",101 דלמטים,,תעלומת הכלבים המעופפים,,,,,1,,פנטזיה,,,דן חסכן,,,חדר של סתיו,
מודן,,,,,כריכה רכה,"באלדאצ'י, דיוויד",39 רמזים,קהילים נגד וספרים,יום הדין,,6,,,1,,פנטזיה,,,,,,ו5,
מודן,2015,2019,ענבל גיל,,כריכה רכה,"גובל, ג'יני",39 רמזים,בגידה,המשימה: הוריקן,,3,,,1,,פנטזיה,,,,,,ו5,
מודן,,,,,כריכה רכה,"הירש, ג'ף",39 רמזים,בלי מעצורים,נקודת פריצה,,2,,,1,,פנטזיה,כוחות על,,,,,ו5,
מודן,,,,,כריכה רכה,"ווטסון, ג'וד",39 רמזים,39 רמזים,מעבר לקבר,,4,,,1,,פנטזיה,כוחות על,,,,,ו5,
מודן,,,,,כריכה רכה,"ווטסון, ג'וד",39 רמזים,39 רמזים,צלילה עמוקה,,6,,,1,,פנטזיה,,,,,,ו5,
מודן,2015,2018,ענבל גיל,,כריכה רכה,"ווטסון, ג'וד",39 רמזים,בגידה,המשימה: טיטניק,,1,,,1,,פנטזיה,,,,,,ו5,
מודן,2013,2015,"בק, רוני",,כריכה רכה,"ווטסון, ג'וד",39 רמזים,בלי מעצורים,אין לאן לברוח,,1,,,1,,פנטזיה,,,,,,ו5,
מודן,,,,,כריכה רכה,"ווטסון, ג'וד",39 רמזים,קהילים נגד וספרים,אוצר המלך,,2,,,1,,פנטזיה,,,,,,ו5,
מודן,2015,2018,ענבל גיל,,כריכה רכה,"לונדון, אלכסנדר",39 רמזים,כ,המשימה: הינדנבורג,,2,,,1,,פנטזיה,,,,,,ו5,
מודן,,,,,כריכה רכה,"לרנג'יס, פיטר",39 רמזים,39 רמזים,גנב החרבות,,3,,,1,,פנטזיה,,,,,,ו5,
מודן,,,,,כריכה רכה,"לרנג'יס, פיטר",39 רמזים,39 רמזים,מאורת הנחש,,7,,,1,,פנטזיה,,,,,,ו5,
מודן,,,,,כריכה רכה,"לרנג'יס, פיטר",39 רמזים,קהילים נגד וספרים,באמצע הלילה,,3,,,1,,פנטזיה,,,,,,ו5,
מודן,,,,,כריכה רכה,"סו פארק, לינדה",39 רמזים,39 רמזים,זהירות: סופה,,9,,,1,,פנטזיה,,,,,,ו5,
מודן,,,,,כריכה רכה,"סו פארק, לינדה",39 רמזים,קהילים נגד וספרים,משבר אמון,,5,,,1,,פנטזיה,,,,,,ו5,
מודן,2014,2016,"היגנס-דוידי, כנרת",,כריכה רכה,"סטנדיפורד, נטלי",39 רמזים,בלי מעצורים,הספירה לאחור,,3,,,1,,פנטזיה,,,,,,ו5,
מודן,,,,,כריכה רכה,"סמית, רולנד",39 רמזים,קהילים נגד וספרים,היהלום שבכתר,,4,,,1,,פנטזיה,,,,,,ו5,
מודן,,,,,כריכה רכה,"פיטרסון הדיקס, מרגרט",39 רמזים,39 רמזים,בלב הסכנה,,10,,,1,,פנטזיה,,,,,,ו5,
מודן,2016,2020,ענבל גיל,,כריכה רכה,"צ'אדה, סרוואט",39 רמזים,בגידה,המשימה: אטום,,4,,,1,,פנטזיה,,,,,,ו5,
מודן,,,,,כריכה רכה,"קורמן, גורדון",39 רמזים,39 רמזים,תו קטלני,,2,,,1,,פנטזיה,,,,,,ו5,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
